Origin	Destination	Trip Duration
27	62	59.83
27	63	77.52
27	64	83.62
28	29	106.88
28	30	93.59
28	31	93.05
28	32	96.59
28	33	123.32
28	34	88.54
28	35	100.02
28	36	83.64
28	37	71.19
28	38	97.6
28	39	77.21
28	40	83.67
28	41	80.99
28	42	75.43
28	43	85.25
28	44	83.91
28	45	75.12
28	46	93.87
28	47	105.98
28	48	82.88
28	49	108.02
28	50	123.44
28	51	90.75
28	52	80.7
28	53	96.26
28	54	62.27
28	55	28.83
28	56	82.86
28	57	98.69
28	58	77.02
28	59	70.95
28	60	87.33
28	61	81.02
28	62	79.91
28	63	97.54
28	64	101.7
29	30	31.36
29	31	27.44
29	32	34.2
29	33	80.44
29	34	56.27
29	35	46.58
29	36	42.07
29	37	42.7
29	38	43.35
29	39	69.87
29	40	67.67
29	41	76.64
29	42	56.07
29	43	78.84
29	44	50.92
29	45	58.35
29	46	59.6
29	47	67.12
29	48	67.44
29	49	83.25
29	50	101.96
29	51	74.57
29	52	88.54
29	53	95.29
29	54	102.5
29	55	94.97
29	56	74.29
29	57	106.85
29	58	79.05
29	59	76.66
29	60	72.77
29	61	87.42
29	62	69.09
29	63	65.65
29	64	70.95
30	31	16.27
30	32	31.35
30	33	54.27
30	34	36.49
30	35	32.81
30	36	28.31
30	37	28.94
30	38	23.66
30	39	58.1
30	40	66.91
30	41	75.87
30	42	61.31
30	43	60.07
30	44	46.15
30	45	73.59
30	46	54.84
30	47	62.36
30	48	62.68
30	49	77.48
30	50	97.2
30	51	73.81
30	52	87.77
30	53	94.53
30	54	85.73
30	55	91.61
30	56	57.93
30	57	87.49
30	58	70.69
30	59	59.3
30	60	54.41
30	61	74.06
30	62	52.73
30	63	52.29
30	64	57.59
31	32	19.1
31	33	48.17
31	34	25.52
31	35	28.9
31	36	24.4
31	37	26.03
31	38	13.57
31	39	46.19
31	40	42.0
31	41	52.96
31	42	36.4
31	43	61.16
31	44	38.24
31	45	39.67
31	46	46.93
31	47	55.45
31	48	48.76
31	49	73.57
31	50	93.29
31	51	52.89
31	52	68.86
31	53	69.61
31	54	88.82
31	55	93.54
31	56	61.37
31	57	89.94
31	58	73.13
31	59	64.74
31	60	57.85
31	61	78.5
31	62	56.17
31	63	53.73
31	64	60.03
32	33	50.04
32	34	40.4
32	35	41.84
32	36	37.34
32	37	42.97
32	38	16.45
32	39	57.14
32	40	61.93
32	41	70.48
32	42	55.35
32	43	63.68
32	44	60.65
32	45	58.09
32	46	64.34
32	47	58.93
32	48	65.18
32	49	84.99
32	50	64.7
32	51	62.42
32	52	85.38
32	53	80.14
32	54	95.34
32	55	91.48
32	56	77.02
32	57	97.59
32	58	77.79
32	59	73.39
32	60	70.51
32	61	83.16
32	62	66.82
32	63	59.38
32	64	78.69
33	34	64.12
33	35	73.66
33	36	69.86
33	37	74.79
33	38	49.97
33	39	94.87
33	40	86.66
33	41	95.21
33	42	83.07
33	43	104.41
33	44	75.38
33	45	84.81
33	46	79.07
33	47	94.65
33	48	94.9
33	49	108.33
33	50	129.43
33	51	93.14
33	52	110.1
33	53	111.86
33	54	137.06
33	55	119.74
33	56	111.94
33	57	114.86
33	58	106.19
33	59	105.12
33	60	105.43
33	61	111.19
33	62	108.74
33	63	104.3
33	64	98.87
34	35	40.54
34	36	36.55
34	37	26.67
34	38	20.56
34	39	39.56
34	40	53.35
34	41	58.9
34	42	46.76
34	43	48.09
34	44	21.07
34	45	41.5
34	46	42.75
34	47	48.34
34	48	49.59
34	49	65.4
34	50	84.11
34	51	45.83
34	52	61.79
34	53	61.55
34	54	92.75
34	55	78.42
34	56	65.24
34	57	70.55
34	58	70.88
34	59	56.81
34	60	70.73
34	61	69.88
34	62	62.04
34	63	76.6
34	64	75.56
35	36	26.85
35	37	27.49
35	38	37.58
35	39	44.35
35	40	43.07
35	41	54.5
35	42	37.85
35	43	60.61
35	44	35.16
35	45	40.39
35	46	44.84
35	47	53.36
35	48	49.68
35	49	66.49
35	50	86.2
35	51	56.35
35	52	77.31
35	53	77.07
35	54	85.27
35	55	90.0
35	56	72.36
35	57	73.1
35	58	70.43
35	59	62.36
35	60	77.85
35	61	75.43
35	62	72.16
35	63	82.72
35	64	74.11
36	37	24.7
36	38	30.11
36	39	42.83
36	40	41.57
36	41	52.89
36	42	36.04
36	43	59.09
36	44	31.34
36	45	38.5
36	46	37.75
36	47	54.28
36	48	46.58
36	49	56.39
36	50	71.11
36	51	54.82
36	52	75.79
36	53	75.54
36	54	87.74
36	55	94.42
36	56	75.7
36	57	69.83
36	58	64.16
36	59	57.08
36	60	81.19
36	61	71.15
36	62	72.5
36	63	80.06
36	64	81.83
37	38	31.9
37	39	30.66
37	40	27.63
37	41	37.07
37	42	22.43
37	43	30.6
37	44	26.28
37	45	25.1
37	46	32.43
37	47	45.85
37	48	34.13
37	49	52.97
37	50	64.75
37	51	35.34
37	52	58.3
37	53	53.06
37	54	71.26
37	55	71.96
37	56	54.83
37	57	56.66
37	58	47.99
37	59	43.91
37	60	61.3
37	61	58.98
37	62	51.88
37	63	69.53
37	64	48.66
38	39	47.1
38	40	49.59
38	41	58.14
38	42	42.3
38	43	60.34
38	44	36.31
38	45	54.74
38	46	52.0
38	47	59.52
38	48	59.83
38	49	74.64
38	50	94.36
38	51	56.07
38	52	70.03
38	53	76.79
38	54	91.99
38	55	106.44
38	56	69.65
38	57	77.54
38	58	80.87
38	59	71.8
38	60	68.14
38	61	83.79
38	62	64.45
38	63	68.01
38	64	72.55
39	40	26.75
39	41	25.9
39	42	22.32
39	43	19.4
39	44	25.67
39	45	21.77
39	46	28.57
39	47	45.16
39	48	31.08
39	49	47.69
39	50	67.7
39	51	35.28
39	52	57.25
39	53	56.0
39	54	80.27
39	55	55.2
39	56	52.24
39	57	48.07
39	58	45.4
39	59	35.32
39	60	58.71
39	61	50.39
39	62	49.28
39	63	68.56
39	64	62.07
40	41	22.55
40	42	16.05
40	43	17.39
40	44	26.39
40	45	20.78
40	46	29.11
40	47	45.71
40	48	30.81
40	49	48.24
40	50	67.43
40	51	35.02
40	52	55.99
40	53	55.74
40	54	62.94
40	55	67.38
40	56	63.53
40	57	58.36
40	58	55.69
40	59	44.61
40	60	69.0
40	61	59.68
40	62	60.58
40	63	72.1
40	64	64.37
